,Old Capital City,Today_A_Part_of,From,Until,"Change, reason"
21,Kelmis,Belgium,1816,1919,Moresnet annexed by Belgium
33,Tarnovo,Bulgaria,1878,1879,moved toÊSofia
34,Plovdiv,Bulgaria,1878,1885,annexed as part of theÊUnification of Bulgaria
37,Phnom Penh,Cambodia,1863,1887,annexed by France; moved toÊSaigon
52,Grand-Bassam,Ivory Coast,1893,1900,moved toÊBingerville
53,Ragusa (Dubrovnik),Croatia,7th century,1808,annexed by France
58,Boma,"Congo, Democratic Republic of the",1886,1908,
59,Copenhagen,Denmark,1524,1814,
73,Levuka,Fiji,1874,1877,moved toÊSuva
74,Turku,Finland,1809,1812,moved toÊHelsinki
81,Braunschweig (Brunswick),Germany,1815,1918,"Brunswick became part of the German Empire in 1871, and lost sovereignty fully in 1918. Braunschweig remained the capital of the GermanÊFree State of BrunswickÊuntil 1946 when it became part of the German state ofÊLower Saxony."
82,Frankfurt,Germany,1806,1815,Confederation dissolved
83,Berlin,Germany,1871,1918,
84,Hanover,Germany,1814,1866,"Hanover annexed byÊPrussia, became capital of the PrussianÊProvince of Hanover, currently the capital of the German state ofÊLower Saxony"
85,Darmstadt,Germany,1567,1918,"Hesse-Darmstadt became part of the German Empire in 1871, and lost sovereignty fully in 1918. Darmstadt remained the capital of the GermanÊPeople's State of HesseÊuntil 1945."
86,Wiesbaden,Germany,1816,1866,"Nassau annexed byÊPrussia, currently the capital of the German state ofÊHesse"
87,Oldenburg,Germany,1180,1918,"Oldenburg became part of the German Empire in 1871, and lost sovereignty fully in 1918. Oldenburg remained the capital of the GermanÊFree State of OldenburgÊuntil 1946 when it became part of the German state ofÊLower Saxony."
88,Kassel,Germany,1277,1866,Hesse-Kassel annexed byÊPrussiaÊin 1866; Kassel became capital of the Prussian province ofÊHesse-Nassau
89,BŸckeburg,Germany,1643,1918,"Schaumburg-Lippe became part of the German Empire in 1871, and lost sovereignty fully in 1918. BŸckeburg remained the capital of the GermanÊFree State of Schaumburg-LippeÊuntil 1946 when it became part of the German state ofÊLower Saxony."
90,Kassel,Germany,1807,1813,dissolved in 1813
