Name,Capital,Type,Existed,Region,Today Part of,CountryName,Country_Latitude,Country_Longitude
Luanda,"Colony, Portuguese",1575–1975,Africa: Central,Angola,,,,
Kingdom of Kongo,São Salvador,Kingdom/client,1390–1914,Africa: Central,Angola,Angola,-8.833333333,13.216667
Kasanje Kingdom,Not specified,Kingdom,1620–1910,Africa: Central,Angola,Angola,-8.833333333,13.216667
Kamerun,Yaoundé,"Colony, Germany",1884–1916,Africa: Central,Cameroon,Cameroon,3.866666667,11.516667
Sultanate of Bagirmi,Chekna,Sultanate,1522–1897,Africa: Central,Chad,Chad,12.1,15.033333
French Chad,Fort Lamy,"Colony, French",1900–1960,Africa: Central,Chad,Chad,12.1,15.033333
Wadai Empire,Abéché,Empire,1635–1909,Africa: Central,Chad,Chad,12.1,15.033333
Congo Free State,Boma,Kingdom,1885–1908,Africa: Central,Democratic Republic of the Congo,Democratic Republic of the Congo,-4.316666667,15.3
Kuba Kingdom,Not specified,Kingdom,c.1600–19th century,Africa: Central,Democratic Republic of the Congo,Democratic Republic of the Congo,-4.316666667,15.3
Kingdom of Luba,Mwibele,Kingdom,1585–1889,Africa: Central,Democratic Republic of the Congo,Democratic Republic of the Congo,-4.316666667,15.3
Kingdom of Lunda,Not specified,Kingdom,c.1665–1887,Africa: Central,Democratic Republic of the Congo,Democratic Republic of the Congo,-4.316666667,15.3
Yeke Kingdom,Bunkeya,Kingdom,1856–1891,Africa: Central,Democratic Republic of the Congo,Democratic Republic of the Congo,-4.316666667,15.3
Kingdom of Orungu,,Kingdom,c.1700–1927,Africa: Central,Gabon,Gabon,0.383333333,9.45
Anziku Kingdom,,Kingdom,17th century–1875,Africa: Central,Republic of the Congo,,,
French Congo,,"Colony, French",1882–1910,Africa: Central,Republic of the Congo,,,
Kingdom of Loango,,Kingdom,c.1550–c.1883,Africa: Central,Republic of the Congo,,,
Portuguese São Tomé and Príncipe,,"Colony, Portuguese",1470–1975,Africa: Central,São Tomé and Príncipe,,,
Kazembe chiefdom,,Chiefdom,1740–1904,Africa: Central,Zambia,Zambia,-15.41666667,28.283333
Sultans of the Comoros,,Sultanate,15th century–c.1912,Africa: East,Comoros,Comoros,-11.7,43.233333
Merina Kingdom,Antananarivo,Kingdom,1540–1897,Africa: East,Madagascar,Madagascar,-18.91666667,47.516667
Medri Bahri,Debarwa,Kingdom,1137–1890,"Africa: East, Horn",Eritrea,Eritrea,15.33333333,38.933333
Sultanate of Aussa,Asaita,Sultanate,1734–1902,"Africa: East, Horn",Ethiopia,Ethiopia,9.033333333,38.7
Ethiopian Empire,Addis Ababa,Empire,1137–1935; 1942–1974,"Africa: East, Horn",Ethiopia,Ethiopia,9.033333333,38.7
Kingdom of Garo,,Kingdom,1567–1883,"Africa: East, Horn",Ethiopia,Ethiopia,9.033333333,38.7
Kingdom of Gomma,,Kingdom,c.1780–1886,"Africa: East, Horn",Ethiopia,Ethiopia,9.033333333,38.7
Kingdom of Gumma,,Kingdom,c.1770–1902,"Africa: East, Horn",Ethiopia,Ethiopia,9.033333333,38.7
Kingdom of Janjero,,Kingdom,15th century–1894,"Africa: East, Horn",Ethiopia,Ethiopia,9.033333333,38.7
Kingdom of Jimma,,Kingdom,1790–1932,"Africa: East, Horn",Ethiopia,Ethiopia,9.033333333,38.7
Kingdom of Kaffa,,Kingdom,c.1390–1897,"Africa: East, Horn",Ethiopia,Ethiopia,9.033333333,38.7
Kingdom of Limmu-Ennarea,,Kingdom,1801–1891,"Africa: East, Horn",Ethiopia,Ethiopia,9.033333333,38.7
Kingdom of Welayta,,Kingdom,c.1250–1894,"Africa: East, Horn",Ethiopia,Ethiopia,9.033333333,38.7
British Somaliland,Hargeisa,"Colony, British",1884–1940; 1941–1960,"Africa: East, Horn",Somaliland,Somaliland,9.55,44.05
Sultanate of Hobyo,,Sultanate,1878–1926,"Africa: East, Horn",Somalia,Somalia,2.066666667,45.333333
Majeerteen Sultanate,,Sultanate,c.1600–1924,"Africa: East, Horn",Somalia,Somalia,2.066666667,45.333333
Isaaq Sultanate,Hargeisa,Sultanate,~1750s–1884,"Africa: East, Horn",Somaliland,Somaliland,9.55,44.05
Kingdom of Burundi,,Kingdom,1680–1966,"Africa: East, Lakes",Burundi,Burundi,-3.366666667,29.35
Wituland,,,1858–1885,"Africa: East, Lakes",Kenya,Kenya,-1.283333333,36.816667
Kingdom of Rwanda,,Kingdom,11th century–1962,"Africa: East, Lakes",Rwanda,Rwanda,-1.95,30.05
Shilluk Kingdom,Fashoda,Kingdom,c.1490–1865,"Africa: East, Lakes",South Sudan,South Sudan,4.85,31.616667
Sultanate of Zanzibar,,Sultanate,1856–1964,"Africa: East, Lakes",Tanzania,Tanzania,-6.8,39.283333
Ankole,,Kingdom,late 15th century–1967,"Africa: East, Lakes",Uganda,Uganda,0.316666667,32.55
Buganda,Kampala,Kingdom,early 14th century–1967,"Africa: East, Lakes",Uganda,Uganda,0.316666667,32.55
Bunyoro,,Kingdom,16th century–1967,"Africa: East, Lakes",Uganda,Uganda,0.316666667,32.55
Khedivate of Egypt,,Khedivate,1867–1914,Africa: Northeast,Egypt,Egypt,30.05,31.25
Funj Sultanate,,Sultanate,1504–1821,Africa: Northeast,Sudan,Sudan,15.6,32.533333
Anglo-Egyptian Sudan,,"Colony, British/Egyptian",1899–1956,Africa: Northeast,Sudan,Sudan,15.6,32.533333
Sultanate of Darfur,,Sultanate,1603–1874; 1898–1916,Africa: Northeast,Sudan,Sudan,15.6,32.533333
French Algeria,,"Colony, French",1830–1962,Africa: Northwest,Algeria,Algeria,36.75,3.05
Ottoman Algeria,Algiers,"Quasi-independent Territory, Ottomans",1517–1830,Africa: Northwest,Algeria,Algeria,36.75,3.05
Sultanate of Morocco,Fes,Sultanate,1668–1912,Africa: Northwest,Morocco,Morocco,34.01666667,-6.816667
Spanish Sahara,,"Territory, Spanish",1884–1975,Africa: Northwest,Western Sahara,Western Sahara,27.153611,-13.203333
Bechuanaland Protectorate,,Protectorate,1885–1966,Africa: South,Botswana,Botswana,-24.63333333,25.9
Basutoland,,,1884–1966,Africa: South,Lesotho,Lesotho,-29.31666667,27.483333
Maravi,,,Late 15th century–1870,Africa: South,Malawi,Malawi,-13.96666667,33.783333
Gaza Empire,,Empire,1824–1895,Africa: South,Mozambique,Mozambique,-25.95,32.583333
Portuguese Mozambique,,"Colony, Portuguese",1498–1975,Africa: South,Mozambique,Mozambique,-25.95,32.583333
Angoche Sultanate,"Angoche, Moma",Sultanate,1485–1910,Africa: South,Mozambique ,Mozambique,-25.95,32.583333
German South West Africa,,"Colony, German",1884–1915,Africa: South,Namibia,Namibia,-22.56666667,17.083333
Kaapstad,,"Colony, Dutch",,Africa: South,South Africa,South Africa,-25.7,28.216667
Mthethwa Paramountcy,,Empire,c.1780–1817,Africa: South,South Africa,South Africa,-25.7,28.216667
Colony of Natal,,"Colony, British",1843–1910,Africa: South,South Africa,South Africa,-25.7,28.216667
Nieuwe Republiek,,Republiek,1884–1888,Africa: South,South Africa,South Africa,-25.7,28.216667
Cape Colony,Cape Town,"Colony, British",1795–1910,Africa: South,South Africa,South Africa,-25.7,28.216667
Orange Free State,,,1854–1902,Africa: South,South Africa,South Africa,-25.7,28.216667
South African Republic,,Republic,1856–1877; 1881–1902; 1914–1915,Africa: South,South Africa,South Africa,-25.7,28.216667
Transvaal Colony,,"Colony, British",1877–1881; 1902–1910,Africa: South,South Africa,South Africa,-25.7,28.216667
Zulu Kingdom,,Kingdom,1816–1897,Africa: South,South Africa,South Africa,-25.7,28.216667
Kingdom of Eswatini,,,1745–1906; 1968–present,Africa: South,Swaziland,Swaziland,-26.31666667,31.133333
Barotseland,,,17th century–1900,Africa: South,Zambia,Zambia,-15.41666667,28.283333
Mthwakazi,,,1830s–1889,Africa: South,Zimbabwe,Zimbabwe,-17.81666667,31.033333
Rozvi Empire,,Empire,1660–1866,Africa: South,Zimbabwe,Zimbabwe,-17.81666667,31.033333
Company rule in Rhodesia by the British South Africa Company,,Company rule,1890–1924,Africa: South,Zimbabwe,Zimbabwe,-17.81666667,31.033333
Dahomey,,Kingdom,c.1600–1904,Africa: West,Benin,Benin,6.483333333,2.616667
Mossi Kingdoms,,Kingdoms,11th century–1896,Africa: West,Burkina Faso,Burkina Faso,12.36666667,-1.516667
Portuguese Cape Verde,,"Colony, Portuguese",1462–1975,Africa: West,Cape Verde,Cape Verde,14.91666667,-23.516667
Bornu Empire (Kanem–Bornu),Ngazargamu,Empire,1380–1893,Africa: West,Chad,Chad,12.1,15.033333
Gambia Colony and Protectorate,,"Colony, British",1821–1965,Africa: West,Gambia,,,
Kingdom of Ashanti,,Empire,1670–1902; 1935–1957,Africa: West,Ghana,Ghana,5.55,-0.216667
Gyaaman,,,1450–1895,Africa: West,Ghana,Ghana,5.55,-0.216667
Fante Confederacy,,Confederation,1868–1874,Africa: West,Ghana,Ghana,5.55,-0.216667
Portuguese Guinea,,"Colony, Portuguese",1474–1974,Africa: West,Guinea,Guinea,9.5,-13.7
Imamate of Futa Jallon,,Imamate,1725–1896,Africa: West,Guinea ,Guinea,9.5,-13.7
Wassoulou Empire,,Empire,1878–1898,Africa: West,Guinea ,Guinea,9.5,-13.7
Baté Empire,,Empire,until 1879,Africa: West,Guinea ,Guinea,9.5,-13.7
Kong Empire,,Empire,1710–1898,Africa: West,Ivory Coast,,,
Republic of Maryland,,Republic,1854–1857,Africa: West,Liberia,Liberia,6.3,-10.8
Liberia,,Republic,1847–present,Africa: West,Liberia,Liberia,6.3,-10.8
Kaabu,,Kingdom,1537–1867,Africa: West,Mali ,,,
Kénédougou Kingdom,,Kingdom,c.1650–1898,Africa: West,Mali ,,,
Khasso,,Kingdom,17th century–1880,Africa: West,Mali ,,,
Bamana Empire,,Empire,1712–1861,Africa: West,Mali ,,,
Kaarta,,,1753–1890,Africa: West,Mali ,,,
Pashalik of Timbuktu,,,1591–1833,Africa: West,Mali ,,,
Toucouleur Empire,,Empire,1848–1893,Africa: West,Mali ,,,
Massina Empire,,Empire,c.1818–1862,Africa: West,Mali ,,,
Sultanate of Damagaram,,Sultanate,1731–1851,Africa: West,Niger,Niger,13.51666667,2.116667
Dendi Kingdom: Askiya Dynasty,,Kingdom,1591–1901,Africa: West,Niger,Niger,13.51666667,2.116667
Aro Confederacy,,Confederation,1690–1902,Africa: West,Nigeria,Nigeria,9.083333333,7.533333
Kano Emirate,,Emirate,1807–1903,Africa: West,Nigeria,Nigeria,9.083333333,7.533333
Kingdom of Nri,Igbo-Ukwu,Kingdom,948–1911,Africa: West,Nigeria,Nigeria,9.083333333,7.533333
Sokoto Caliphate,,Caliphate,1804–1903,Africa: West,Nigeria,Nigeria,9.083333333,7.533333
Oyo Empire,Oyo-Ile,Kingdom,c.1400–1896,Africa: West,Nigeria,Nigeria,9.083333333,7.533333
Kingdom of Benin,Benin City,Empire,1180–1897,Africa: West,Nigeria ,Nigeria,9.083333333,7.533333
French West Africa,,"Colony, French",1895–1958,Africa: West,Senegal,Senegal,14.73333333,-17.633333
Cayor,,Kingdom,1549–1879,Africa: West,Senegal,Senegal,14.73333333,-17.633333
Imamate of Futa Toro,,Imamate,1776–1861,Africa: West,Senegal,Senegal,14.73333333,-17.633333
Kingdom of Jolof,,Kingdom,1549–1875,Africa: West,Senegal,Senegal,14.73333333,-17.633333
Bundu,,,17th century–1858,Africa: West,Senegal,Senegal,14.73333333,-17.633333
