,LocationName,"Latitude, Longitude"
0,Melbourne,"[-37.8142176, 144.9631608]"
1,Brisbane,"[-27.4689682, 153.0234991]"
2,Perth,"[-31.9558964, 115.8605801]"
3,Darwin,"[-12.46044, 130.8410469]"
4,Alice Springs,"[-23.6983884, 133.8812885]"
5,Ballarat,"[-37.5623025, 143.8605649]"
6,Canberra,"[-35.2975906, 149.1012676]"
7,Hobart,"[-42.893851,147.27208577170381]"
8,Hobart Town,"[-42.893851,147.27208577170381]"
9,Adelaide,"[-34.9281805,138.5999312]"
10,Sydney,"[-33.8698439,151.2082848]"
11,New South Wales,"[-33.8698439,151.2082848]"
12,Victoria,"[-37.8142176, 144.9631608]"
13,Queensland,"[-27.4689682, 153.0234991]"
14,Tasmania,"[-42.893851,147.27208577170381]"
15,Northern Territory,"[-23.6983884, 133.8812885]"
