Placename, PartOf, Latitude, Longitude
CHAPTER I., United Kingdom, 51.483033649999996, -3.20352008370247
THE PRISON SHIP, No location matched, , 
Crown, NSW, -33.531666666666666, 149.91777777777776
the Bay of Biscay, United Kingdom, 52.95425415, -1.159789836905746
London, United Kingdom, -0.083333, 51.5
Van Diemen's, TAS, -41.3799529, 147.1181359
Vickers, United Kingdom, 51.59845985, -1.7415535311162076
Familiarity, No location matched, , 
Chatham, NSW, -31.898333333333333, 152.46777777777777
Frere, Italia, 44.4701528, 7.004274
Sylvia, QLD, -20.85, 143.81666666666666
Surgeon Pine, Norfolk Island, -29.0569188, 167.9554764
Coromandel, SA, -35.0251942, 138.6143361
Pine, SA, -36.0, 135.0
the King's Regulations, No location matched, , 
India, Asia, 77.2, 28.6
the Hydaspes for Calcutta, No location matched, , 
shell--"why, No location matched, , 
Modesty, Hrvatska, 43.5127672, 16.4402032
CHAPTER I., United Kingdom, 51.483033649999996, -3.20352008370247
Cape Pillar, TAS, -43.18000031, 147.9299927
Pirates, South Africa, -34.0017571, 23.0512558
the Isle of Wight, United Kingdom, 50.6710482, -1.3327111133199459
South, Éire / Ireland, 52.34106825, -8.145015276623376
Mediterranean, United States, 29.918687, -95.0748985
Cape Bougainville, TAS, -42.50999832, 148.0099945
Maria Island, TAS, -42.61999893, 148.0800018
Peninsula, WA, -33.92686, 116.0693
Pillar, United Kingdom, 54.4974813, -3.2811806
Storm Bay, TAS, -43.16999817, 147.4400024
Storing Island, No location matched, , 
Hobart, TAS, -42.893851, 147.2720857717038
Sorrell, United Kingdom, 53.961450600000006, -1.0665293366389048
Pittwater, NSW, -33.615, 151.30944444444447
Bruny Island, TAS, -43.29000092, 147.2799988
Actaeon, Nederland, 51.9864345, 5.6694395
Recherche Bay, TAS, -43.54999924, 146.8999939
the South Cape, United Kingdom, 52.2840847, -1.9055396710979262
New Norfolk, TAS, -42.77999878, 147.0500031
the Southern Ocean, Ελλάς, 37.1034349, 25.3748431
Victoria, Australia, -37.8142176, 144.9631608
Port Philip Bay, NSW, -33.977710200000004, 151.22932069489116
Bay, NSW, -33.13166666666667, 149.2011111111111
Wyld's Crag, No location matched, , 
Wellington, New Zealand, 174.783333, -41.3
Dromedary, TAS, -42.74000168, 147.1600037
Derwent, TAS, -42.813, 146.423
Mount Wellington, NSW, -29.698333333333334, 152.38444444444443
south bay, TAS, -42.27999878, 146.5
Smyrna, United States, 33.883887, -84.5147454
Cape Grim, TAS, -40.68000031, 144.6799927
Pyramid Island, TAS, -42.59000015, 145.7299957
Rocky Point, SA, -32.09345241, 133.6281923
Port Davey, TAS, -43.33000183, 145.9100037
Cape, Chile, -36.4118688, -71.9071522
Huon, VIC, -36.2195833333333, 147.063472222222
Navigation, Schweiz/Suisse/Svizzera/Svizra, 46.2119049, 6.1495001
Macquarie Harbour, TAS, -42.29999924, 145.3600006
Mount Heemskirk, TAS, -41.84999847, 145.1699982
King's River, Éire / Ireland, 52.53535, -7.4851818
Gordon, TAS, -43.25999832, 147.2299957
Sarah Island, TAS, -42.38000107, 145.4400024
Philip, Philippines, 14.6082386, 121.1179416
Island, NSW, -33.348333333333336, 150.58444444444444
Nature, United States, 33.6981486, -117.7460817
Ladybird, United Kingdom, 50.233202399999996, -5.228724001225023
the Hobart Town Gaol, No location matched, , 
Commandant, No location matched, , 
Honduras, Central America, -87.216667, 14.1
Honest, New Zealand / Aotearoa, -43.5332803, 172.6318206
Hobart Town, TAS, -42.893851, 147.2720857717038
Hells Gates, TAS, -42.20999908, 145.2100067
Arthur, NSW, -32.363055555555555, 150.85805555555555
England, QLD, -27.433333333333334, 152.46666666666667
New Town, TAS, -42.84999847, 147.3000031
Sydney, NSW, -33.8698439, 151.2082848
verandah.-She, No location matched, , 
Barton, NSW, -30.160277777777775, 145.98111111111112
Grummet Island, TAS, -42.38000107, 145.4499969
Maria, SA, -36.95065, 139.64065
Malabar, NSW, -33.965, 151.2511111111111
Dawes, VIC, -37.81597137, 146.4990234
Gad, India, 17.3779584, 73.6248887
Osprey, Queensland, -21.165189050000002, 149.19542331768264
nimbus, United Kingdom, 52.5968781, -1.6796506
Troke, Tchad تشاد, 14.5532054, 21.9807726
